pk_local,regiao,estado,microrregiao,zona,bairro,escola_codigo,escola_nome,cidade
157,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036726,ESCOLA MUNICIPAL LUIS BATISTA NETO,SÃO JOSÉ DE PRINCESA
158,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036734,EMEF MANOEL ALEXANDRINO FERREIRA,PRINCESA ISABEL
159,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036742,EMEF PROFESSORA ELISA MENDES,PRINCESA ISABEL
160,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036769,ESCOLA MUNICIPAL OTAVIO VERISSIMO,SÃO JOSÉ DE PRINCESA
161,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036777,ESCOLA MUNICIPAL PEDRO INACIO DE SOUSA,SÃO JOSÉ DE PRINCESA
162,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036785,ESCOLA MUNICIPAL SEBASTIANA GOMES DE SOUSA,SÃO JOSÉ DE PRINCESA
163,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036793,ESCOLA MUNICIPAL SEBASTIAO FLORENTINO PEREIRA,SÃO JOSÉ DE PRINCESA
164,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036807,EMEF VEREADOR FRANCISCO COSTA,PRINCESA ISABEL
165,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036815,EMEF VIRGULINO JOSE FERREIRA,PRINCESA ISABEL
166,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036823,EMEF JOAO MADEIRO,PRINCESA ISABEL
167,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036831,ESCOLA MUNICIPAL JOAQUIM JOVINO DE LIMA,SÃO JOSÉ DE PRINCESA
168,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036840,GRUPO ESCOLAR JOSE CABOCLO DA SILVA,PRINCESA ISABEL
169,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036858,ESCOLA MUNICIPAL PROFESSORA NILZA MANDU,SÃO JOSÉ DE PRINCESA
170,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036874,CRECHE MUNICIPAL UNIDADE III,PRINCESA ISABEL
171,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036890,EMEF JOAO BENEDITO FERREIRA,PRINCESA ISABEL
172,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036912,EMEF ACADEMICO JOSE SEVERIANO DINIZ,PRINCESA ISABEL
173,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036920,EMEF JOSE DE LOURO FLORENTINO,PRINCESA ISABEL
174,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036939,ESCOLA MUNICIPAL FREI ANASTACIO,SÃO JOSÉ DE PRINCESA
175,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036963,EMEF FREI MANOEL CARNEIRO LEAO,PRINCESA ISABEL
176,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036971,ESCOLA MUNICIPAL JOAO PAULO II,SÃO JOSÉ DE PRINCESA
177,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036980,ESCOLA MUNICIPAL JOAQUIM ANTAS FLORENTINO,SÃO JOSÉ DE PRINCESA
178,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037005,ESCOLA MUNICIPAL MARIA LOPES DE LIMA,SÃO JOSÉ DE PRINCESA
179,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037021,EMEF PROFESSORA MARIA DO SOCORRO,PRINCESA ISABEL
180,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037030,ESCOLA MUNICIPAL ROSA CARIRI,SÃO JOSÉ DE PRINCESA
181,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25037072,EMEF NOSSA SENHORA DO ROSARIO,PRINCESA ISABEL
182,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25037080,EMEF PROFª ALICE MAIA,PRINCESA ISABEL
183,Nordeste,Paraiba,11ª GRE,Urbana,MAIA,25037099,EMEF CARLOS ALBERTO MEDEIROS DUARTE SOBREIRA,PRINCESA ISABEL
184,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25037129,EEEF MARCAL LIMA NETO,PRINCESA ISABEL
185,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25037137,EEEFM DEP NOMINANDO MUNIZ DINIZ,SÃO JOSÉ DE PRINCESA
186,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037145,ESCOLA MUNICIPAL ALZIRA MOURA MAGALHAES,SÃO JOSÉ DE PRINCESA
187,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037153,ESCOLA MUNICIPAL CALDEIRAO SUL,SÃO JOSÉ DE PRINCESA
188,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037161,ESCOLA MUNICIPAL BERNADINO CORDEIRO FLORENTINO,SÃO JOSÉ DE PRINCESA
189,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037170,ESCOLA MUNICIPAL SEBASTIAO FRANCISCO DOS SANTOS,SÃO JOSÉ DE PRINCESA
190,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25037226,EEEFM ADRIANO FEITOSA,TAVARES
191,Nordeste,Paraiba,11ª GRE,Rural,CENTRO,25037234,EEEFM POVOADO SILVESTRE,TAVARES
192,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037250,EEEF SITIO BOA VISTA,TAVARES
193,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037277,EEEF SITIO MINADOURO,TAVARES
194,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037358,EEIF SAO FRANCISCO,TAVARES
195,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037420,EEEF DO POVOADO DE BELEM,TAVARES
196,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25037439,ESCOLA REUNIDA DE EIFM NORMAL PADRE TAVARES,TAVARES
197,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037447,GR ESC ANANIAS DEODATO DA SILVA,TAVARES
198,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037455,GR ESC CLAUDIO LEITE DA SILVA,TAVARES
199,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037471,EEIF JOAO MARCELINO DO NASCIMENTO,TAVARES
200,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037480,EEIF JOAO PEREIRA DA SILVA,TAVARES
201,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037498,EEIF JOSE NASCIMENTO DA SILVA,TAVARES
202,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037501,EEIF 15 DE NOVEMBRO,TAVARES
203,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037510,EEIF MARIA AMELIA DA CONCEICAO,TAVARES
204,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037528,EEIF MARIA ESTELA RODRIGUES,TAVARES
205,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037536,EEIF MARIA ROSA DA CONCEICAO,TAVARES
206,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037544,GR ESC MANOEL PINTO DO NASCIMENTO,TAVARES
207,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037552,EEIF BENEDITO PINTO DA SILVA,TAVARES
208,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037579,EEIF CICERO MARTINS GOMES,TAVARES
209,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037587,EEIF CLEMENTINO BATISTA,TAVARES
210,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037595,EEIF ERNESTO MARQUES DE SOUSA,TAVARES
211,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037609,EEIF MANOEL BERNARDINO DO NASCIMENTO,TAVARES
212,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037617,EEIF ALEXANDRINA FELIX DE SOUSA,TAVARES
213,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037633,GR ESC JOAO PAIVA,TAVARES
214,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037641,EEIF JOSE EUFRASIO LEITE,TAVARES
